ID;title;type;message;Class;Category
258774;Coming Out As An Undocumented Immigrant - Latino Voices;video;"The thing I hate the most of ""anti-illegal-immigrant "" sentiment is that its mostly anti-latino/hispanic, people always say ignorant shit to me like go back mexico, youre foreign, etc. I'm an american, as my father and his father. My grandfather served in vietnam. I just hate all the racism that goes along with this. It is what it is I guess. Xenophobia will continue ";Hateful;Behavior
47420;What's It Like To Have An Abortion? 4 Women Share Their Stories;video;Stop having unprotected sex. Take the necessary steps to prevent getting pregnant. Are people retarded??? God I hate this country;Hateful;Behavior
346069;Donald Trump Wants To Ban Muslims From Entering The U.S.;video;I hate religion but what kills me is how alot of people, christians especially will act like trump and say some ignorant shit or have certain views against muslims being evil and terrorist. I guess they forgot we have our own domestic terrorist of our own in our country who also go to other countries and terrorize. Not saying don't be cautious of the extremist  but don't be foolish in thinking we're safe here under our own leaders. It's already known of what their true agenda is. Geez I hate america.....well most american citizens. So fucking ignorant;Hateful;Behavior
346375;Georgia School Principal Makes Racist Comment, Then Blames Satan;video;I hate religious  people who blame the devil for making them say very insulting  statements. ;Hateful;Behavior
49374;German Chancellor Angela Merkel Makes Refugee Girl Cry;video;I hate how welfare is in the United States. Lazy ass people in the damn ghetto with 500 fucking kids get to sit on their ass all day and get government checks whilst not doing any work. That is an extremely disproportionate return. Fuck this shit. I'd rather be socialist since it's no work no pay. I'm not entirely sure if that's what socialism is though so correct me if I'm wrong.;Hateful;Behavior
15312;"These people are taking tree hugging to new heights. 

They're cloning some of the world's tallest trees to fight climate change.";post;I hate guys who inbox girls,asking for their numbers.Ladies,if you agree with me,inbox me your numbers so we can discuss this matter in more detail :D;Hateful;Behavior
17600;Wolf Hunting In Siberia: The Hunt (Part 2);video;I hate them wolfs are my favorite animal;Hateful;Behavior
17610;Wolf Hunting In Siberia: The Hunt (Part 2);video;I HOPE THE HUNTERS DIE IN A FIRE WITH HER IDIOT MOTHER...... DOGS ! AND IF I SEE A HUNTER IN THE FOREST I WILL PICK HER FACE AND THROW IN THE FIRE... AND U WILL SEE!!!!!!!!!!!!!!! I HATE PPL KILLING MY FAVORITE ANIMAL AND IF I WANT TO BE A ANIMAL I CHOOSE WOLF! I KNOW I HAVE JUST 13 EARS RIGHT NOW BUT ITS WHAT IM SAYING FOR A ADULT! I HOPE HUNTERS DIE I WILL THROW A KNIFFE IN THE HUNTERS AND WILL KILL HER DOGS! IM GIVING DISLIKE IN ALL UR VIDEOS BECAUSE THIS! GO THROW A KNIFE IN UR HEART I WILL LAUGH! LAUGH!!!!!!! IF I CAN BE A WOLF I GO TO UR HOUSE AND PICK UR HEAD OUT AND THROW IN THE PACK OF WOLFS TO THE WOLFS EAT!;Hateful;Behavior
59698;;post;Look, I hate the way Israel has treated the Palestinians, but I gotta side with them on this one. I'd hate it if there was a loud speaker blaring music for any reason between 11pm and 7am. What's wrong with just playing the music for yourself quietly in your own home?;Hateful;Behavior
65496;"“F*ck Donald Trump!” 

These protesters aren't happy with the election results.";post;There is alot of people angry about the election and I understand you are upset. But there is nothing I hate more that rioting, you are throwing a tantrum. Most great things that this country has accomplished has been through peaceful protesting aka: wemon right to vote, blacks right to vote (Martin Luther king). (Might not be great in some oppions, the prohibition). When you riot you are ruining regular people's lives such as: small business(that you distroy), hurting people, and wasting your own $$ believe it or not so tires, trash, property you are burning someone is going to pay for it YOU THE TAX PAYER (if you have a job) you are just hurt yourself and the people around you. So please if you want things to change get lots of people around you and protest peacefully.;Hateful;Behavior
86490;China And Pakistan's New Partnership Has A Pretty Inappropriate Name;video;"As much as I hate everyone who endlessly whines about what they think is feminism and pounces every time they think they have any ammo to discredit it, I must agree that it's definitely not misogynistic...just stupid.

I'm sure feminists are just as tired of hypersensitive people who jump at any chance to get offended regardless of whether or not it makes any sense as you are. Please don't typecast, or at least do some research before you do. By that I mean research through academic sources, don't just google search and take a scroll through Tumblr.

Tumblr is not a political website; it's a host for image blogs and a place where angry people rant about their problems just like every other social website on Earth. It's a popular website full of pro-feminist sentiment, sure, but that doesn't make it a political movement's HQ.";Hateful;Behavior
220145;California Police Officer Shoots A Man Climbing Out Of Car Wreck;video;I hate drink drivers.. So glad he was shot and shame he wasn't killed. At least he can rot in prison tortured by the thought he killed his wife. Top marks to the policeman for a great shot;Hateful;Behavior
250752;A woman in line at JCPenney went on a racist rant aimed at two Hispanic women.;post;I would be in jail.. all it would take was one racist remark towards me or my family. I've paid my taxes just like this old racist Heffa! I hate ppl like this! It boils my blood!!;Hateful;Behavior
265974;“It has nothing to do with Islam” – The neighbor of truck attacker Mohamed Lahouaiej Bouhlel.;post;It does not interest me what type is this person or what he is an alcoholic or a junk is this person has killed innocent people and I hate this such people and I don't know if what is with these people Everything I would have the power then I have the family of this guy prosecuted or the country of origin;Hateful;Behavior
305617;Muslim Boy Ahmed Mohamed Arrested After Bringing Clock To School;video;I hate ignorant stereotypes people in America thinking all Muslims are terriost .;Hateful;Behavior
316806;This man saved his wife from suicide by grabbing her by the hair.;post;Crazy manner...! I hate this kind of person... if no any comprises for each other;Hateful;Behavior
323583;You'd Be Surprised Who's On Food Stamps;video;i hate people like this;Hateful;Behavior
337772;The Briefcase - Poor Families Pit Against Each Other In CBS Reality Show;video;"i hate people who say ""money isn't everything"" because they probably have never had to live struggling for it";Hateful;Behavior
344504;Anti-Immigrant Backlash Sparks Refugee Theater In Berlin, Germany;video;"every time i see one of this ignorant ungrateful people complaining i wish someone would come and whack them. WTF is wrong with this idiots? you get a free life here and still complain. the bitch is talking about a ""psychological war"".... nobody cares for you muslims until you start influencing social life the way you want. nobody fucking cares, live your life and stop this crybaby-bullshit. 
I hate this ungrateful people forcing their lifestyles onto the population";Hateful;Behavior
322842;Meet the model who is “too skinny” for U.S. plus-size modeling, but “flat-out fat” for South Korea.;post;Yay!!! I am so happy to finally have someone standing up to stupid Asian standards! I know when I go visit Taiwan, I would be judged bc I am heavier than normal. I'm so sick of the stupid stereotype. I am Asian American and has always been built bigger than most Asians. I am damn proud;Hateful;Behavior
10776;Protesters attempting to extinguish the Olympic torch in Brazil were met with rubber bullets, stun grenades and tear gas.;post;God I fucking hate protesters. So glad police used stun grenades on them. The Olympics have been a thing for decades yet these morons wanna bitch and cry because they don't want them there. Boo fucking hoo. Let the games continue! Go Team USA!;Hateful;Behavior
11154;"Van Jones delivered a raw and emotional commentary on Donald Trump's win.

And now some are calling for his resignation.";post;STFU!!! Maybe that's the problem. You should be your child's role model. Anyone that wants to be President can be President if the strive to be, you just want to be the next black face with Obama out. I can't stand people like this guy. People voted him in just like they did Trump. Live with it, and in 4 years vote his ass out. Majority has spoken.;Hateful;Behavior
19469;South Carolina Cop Body Slams High School Student To The Ground;video;Good! I'm glad! I'm so sick of these students getting away with whatever they want..especially black ones. People have no idea until they have to run a class of black students. You'll go from being a liberal loving hippy to a hateful bigot overnight.;Hateful;Behavior
33067;;post;I do not  see how people praying is such a horrible thing, it is horrible for someone to hate people because they pray, this is not Christianity ! Just because you go to church, you make stupid videos like this one, you call yourself a Christian, does not make you one. If you actually followed the teaching of Christ like you say you did, you could not be disrespectful, hateful, mean etc... to any person or living creature.No matter who they are,  I am so sick of these so called Christians preaching hate & using Jesus to defend it.;Hateful;Behavior
36074;Holocaust + Selfie Culture = 'Yolocaust';post;"I visited Auschwits in may 2014. I was with a group with a hugely disrespectful girl who claimed it was boring. I lost my temper and said in a stern but quiet voice ""for God sake show some God damn respect"". I was fuming with her especially since our tour guides family members was a holocaust survivor and the fact she had to hear a meme we of our group be like that. I'm sick of people who clearly have no respect like that.";Hateful;Behavior
41588;Nepal Hit By A Second Major Earthquake;video;"Im sick of ppl writing BS on twitter with their BS hashtag. If you really care about the devastation, make donation. ""#PrayforNepal"" won't help jack shit for people from Nepal.";Hateful;Behavior
54818;Racism in the workplace: What you can do to protect your white employees from hearing about it.;post;I'm sick of anybody being racist prejudice discriminatory and then having the nerve to divert the anger on someone else to avoid dealing with the fact that you yourself are racist and foster racism because you participate in a group of racist prejudice and discriminating people....and that's just too much truth for you to resonate within your own soul. Shameful and quite weak as an individual that should self evaluate instead of this prideful illusion you have fostered. Starts with you. Me. We all must self evaluate and stop running from the truth.;Hateful;Behavior
68463;Miss World Japan is half Indian. Turns out that's a big deal.;post;Don't those idiots realise we all originate from the same African ancestors?! I'm so sick of people drawing these superficial distinctions based on race and skin colour! We are all humans. And for the record, she looks JAPANESE ENOUGH to me!;Hateful;Behavior
