ID;title;type;message;Class;Category
557;Protesters Demand the Confederate Flag Be Taken Down;video;Y'all need to do some research before y'all comment;Neutral;Neutral
558;Protesters Demand the Confederate Flag Be Taken Down;video;That first black Woman was completely wrong on what that flag means, I fully support the flag;Neutral;Neutral
560;Protesters Demand the Confederate Flag Be Taken Down;video;This flag belongs in a museum because it's history. A reminder that teaches us to learn from our mistakes.;Neutral;Neutral
734;Protesters Demand the Confederate Flag Be Taken Down;video;An we all  have to do what sknekne sais of all color. An whites an blacks both served an that flag didn't bother them ;Neutral;Neutral
777;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;thank you aj+ for  your support;Neutral;Neutral
756;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;I was watching this and was thinking, you know what's a much bigger fear that most people live in. The fear of hell fire, parents instill this fear into their kids at a very early age. People tell me all the time as to why do I care about what other people believe in. Well I also want to protect you from the fear of your imaginary god.;Neutral;Neutral
774;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;now think about those other religion people living in saudi , pakistan and most of the other middle eastern  countries ,, they are going through this every single day ........................ muslim world shame on you too;Neutral;Neutral
818;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;"Powerful video. Great reporting AJ
The music in this video was fantastic - what is it?";Neutral;Neutral
819;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;humanity has been restored??;Neutral;Neutral
513;Protesters Demand the Confederate Flag Be Taken Down;video;does anyone understand what that flag represents to us southerners?;Neutral;Neutral
554;Protesters Demand the Confederate Flag Be Taken Down;video;Keep it flying.;Neutral;Neutral
555;Protesters Demand the Confederate Flag Be Taken Down;video;Not white southerners owned slaves. MANY of them were poor.farmers and could barely afford to care for themselves.;Neutral;Neutral
749;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;What's SAD is that you allowed your daughter to feel this way without properly educating her on what Trump actually said.  Thanks for posting this video because it shows perfectly the type of character that you really are.;Neutral;Neutral
750;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;name of song anyone?;Neutral;Neutral
751;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;I wonder how the right wingers will react when the military, something they have glorified and declared sacred, turns out to be against their xenophobic agendas.;Neutral;Neutral
753;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;I took the oat to serve and protect all Americans regardless of faith and color and I am a Muslim American.;Neutral;Neutral
754;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;Never rely on the US Government to Protect You... Defend Yourself from them.;Neutral;Neutral
757;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;This is so beautiful;Neutral;Neutral
765;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;Marcus Grodd is from the bachelor show on ABC. also was in bachelor paradise.;Neutral;Neutral
773;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;Why can't humanity just get along and put their difference aside life is too short to waste your time on hating on your fellow human being.;Neutral;Neutral
775;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;It's stuff like this that is going to put H. Clinton into the White House. America deserves what it gets. We didn't learn our lesson from 8 years of obama.  Here comes another 8 years of downward spiral with another DEM President for 8 years.;Neutral;Neutral
776;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;This warmed my heart man. Human kindness is always a good thing.;Neutral;Neutral
780;U.S. Military Vows To Protect Muslim Americans Using Hashtag #IWillProtectYou;video;Would be interesting to see the numbers;Neutral;Neutral
1019;12-Year-Old Palestinian Girl Freed From Israeli Prison;video;Great job not at all mentioning what she was arrested for (planning a stabbing attack, by the way). AJ+ cares a lot for Palestinian children, which is commendable, but not at all for the Israeli children who are on occasion the victims of attacks by Palestinians, which is less so;Neutral;Neutral
2439;Refugees Are Refusing To Register In Denmark;video;if they were genuine refugees they would sign in Denmark. Already making demands and they haven't been accepted yet;Neutral;Neutral
2443;Refugees Are Refusing To Register In Denmark;video;They are not refugees .They are immigrants trying to get into Europe illegally by acting like victims.;Neutral;Neutral
2449;Refugees Are Refusing To Register In Denmark;video;more money (for welfare), more problems (for sweden). i would never give them citizenship. they are there for only one reason. and no they are not refugees it's a road trip for more benefits.;Neutral;Neutral
1024;Protesters Demand the Confederate Flag Be Taken Down;video;If this is what people are getting upset about nowadays then they seriously need to get their priorities straight. A flag isn't going to kill you. A few bad people out of thousands are the ones you have to worry about. I know plenty of folks who let this flag fly and still don't think slavery or racism is OK. Don't hate a piece of fabric. Hate the rare few who give it a bad name. ;Neutral;Neutral
2456;Refugees Are Refusing To Register In Denmark;video;what kind of refugee travels across 11 countries ??  ohh its aj+;Neutral;Neutral
2458;Refugees Are Refusing To Register In Denmark;video;most of them are young men who left their family;Neutral;Neutral
2460;Refugees Are Refusing To Register In Denmark;video;they do there homework on wat could tries will pay them and there families the most benefits for sitting on there ass doing nothing ,then they head for that country passing various safe countries on the way si how the fook can u call them refugees when they do this ,there very crafty ,clever people when it comes to deception and all you lefty,liberal tolerent do-gooders are falling for it ,look at calais how can they b refugees they've traveled half way round the world to get to where they want to go ,if u let them all into UK then 6 months later ther would b another 10,000 waiting to get over;Neutral;Neutral
2463;Refugees Are Refusing To Register In Denmark;video;11 countries where he could've stayed if he really fled from war.;Neutral;Neutral
2464;Refugees Are Refusing To Register In Denmark;video;There are so many heartless people nowadays. Such a shame. Lost faith in humanity.;Neutral;Neutral
2467;Refugees Are Refusing To Register In Denmark;video;Why travel so far risking their lives and not go just to any neighboring country???;Neutral;Neutral
2472;Refugees Are Refusing To Register In Denmark;video;well  done  Denmark  ,,  and  do the same  , Sweden , Norway and Germany  !!;Neutral;Neutral
2473;Refugees Are Refusing To Register In Denmark;video;Hopes and dreams collapse? what about the Europeans hopes and dreams;Neutral;Neutral
2474;Refugees Are Refusing To Register In Denmark;video;good work denmark;Neutral;Neutral
2534;Refugees Are Refusing To Register In Denmark;video;i am EU citizen born and breed, left my parents house and travelled to another european country more than 15 years ago with no skills or qualifications, had to work very hard from the bottom and learnt the language, no one helped me gave me any house or food, only my hard work, why these guys get free everything is not fair, most of them are not real refugees too, only middle class accommodated lefties support this, it's outrageous;Neutral;Neutral
2542;Refugees Are Refusing To Register In Denmark;video;"They look better fed than my grandmother, costing 2k a month for care. Soon she will have to share her care with these immigrants. Even though she was the one who worked for 60 years. I run a company, and it's hard for my employees to find housing. Now these migrants are in the city while some of my employees have to commute longer than two hours a day. Let them set up tents, take some food, educate themselves. Stop letting them drill into our society with the demands and Islamic & Arabic culture. It's making us reject them; keep it at a distance.";Neutral;Neutral
2543;Refugees Are Refusing To Register In Denmark;video;Goodbye Sweden!;Neutral;Neutral
2546;Refugees Are Refusing To Register In Denmark;video;Police sheriffs in germany are saying its gonna cause ww3;Neutral;Neutral
2551;Refugees Are Refusing To Register In Denmark;video;Great.. We dont want them..... So stop coming....  We have no money and they are not give aways.....;Neutral;Neutral
