ID;title;type;message;Class;Category
3869;Here's 5 things you might not know about the #DakotaAccessPipeline.;post;This is wrong let it be known they are stealing their land to build oil pipelines this is wrong they're destroying their burial grounds to run a pipeline through it;Hateful;Accusations
4334;These are the police officers lost in the Dallas shooting.;post;I only want the media to pay tribute to all of the black people who were murdered by uniforms as well....I hate HATE, but this is the outcry of the African American people...FAIR and EQUAL treatment...why is it a double standard...there has been no tribute to all the people they gunned down like animals and.all the officers are alive and has not been punished!;Hateful;Accusations
5433;No third-party candidate has been in a national debate since 1992. What's up with that?;post;"Come on really, a rigged debate. That's your concern. The entire Democracy is owned by capitalism. A guy on the corner sells $10 bag of crack cocaine goes to jail.

Yet bankers and wall street steal billions and no criminal charges are filed. They crashed the entire economy, no charges. The most recent out rage is Wells Fargo that is asking us to believe that the scam was lower level management while the CEO pockets $200 million. 

At least the CEO could have had enough guts to tell Elizabeth Warren, ""Where have you been? It's called doing business in America.""

It's all about the money. Take a survey, take a poll and please let me know how many people with a net worth over $5 million are in jail, percentage wise.

Money makes the politicians go round. How are you going to put in check the people that have made you a millionaire. By the way does anybody know where I can get a fity rock. 

Debate rigging is the least of this Country's problems. The entire system is rigged.  Check Jefferson's letter to Madison in regards to Shay's rebellion. However, I, at least have an advantage over many people by no doing of my own.

I got lucky,  I was born white and nobody ever owned by Great Grand Parents.  Worse yet I could have been born a Native American. There are a couple left right? Really a rigged debate.

Barry Amato";Hateful;Accusations
9780;Netanyahu just said that people who are against illegal settlements are fans of ethnic cleansing. For real.;post;What's the difference? Israel wants all of the land for the Jews even though the Jewish state is stealing Palestinian lands.  Does any remember that Jesus was a Palestinian?;Hateful;Accusations
9782;Netanyahu just said that people who are against illegal settlements are fans of ethnic cleansing. For real.;post;I have no questions about Israeli long term intentions in the West Bank. The Jews will steal it for themselves and no one will lift a finger to stop them.;Hateful;Accusations
10387;America will give Israel $38 billion in military aid in 10 years. Could that money be used at home?;post;What a goddam crime!  If there wasn't any oil in the Middle East, Israel would have never have been 'created' in the land of Palestine, displacing 750,000 Palestinians, killing 10,000 more initially and continually butchering more every day.  Original backing was mostly the Rothchilds working out of Britain.  Now its the USA and Big Oil funded by you, the taxpayer.;Hateful;Accusations
10455;America will give Israel $38 billion in military aid in 10 years. Could that money be used at home?;post;"America is perpetuating a cycle of war and unjust violence by Israel in the Middle East. And who's it's main supporter? America.. ( so called democrats, please lead by example for the world to follow. ) 
World powers make me sick.";Hateful;Accusations
10516;America will give Israel $38 billion in military aid in 10 years. Could that money be used at home?;post;This Fake Israel is not America's friend, they are the ones who got you in the wars in the first place. And have you now in debt, while they are debt free. The Jews are the ones who put Obama and Bush in the seat . The Ashkenazi' Jews hate the white Americans and are secretly robbing you of your Guns, Rights, Property, Food, Entertainment industries and now your country. White Americans they have infiltrated your soil.;Hateful;Accusations
13102;What do you picture when you think of a stained glass window? Probably not this.;post;I'm sorry that you never developed a decent history or representable culture so that you have to steal the european one to make yourself feel equal.;Hateful;Accusations
14110;Trump's first day as president-elect left many Americans worried for their safety.;post;It's funny that some white americans think they are more native than the Indians becuase they raped and killed them a while back in history. White people are NOT native in US, respect the borrowed land. You are immigrants too.;Hateful;Accusations
15209;An attack on an Indian Army base has killed at least 17 soldiers in Kashmir. It comes just a day after thousands mourned an 11-year-old boy who was found dead with pellet wounds.;post;India is the new Israel. They both are deadly murderers. Since Modi becomes PM people are beaten to death for eating beef almost every week!;Hateful;Accusations
19537;The Ku Klux Klan says it's rebranding itself as non-violent. Oh, and it loves Donald Trump.;post;"so after a mass murder, lynching people and making their life miserable now they claim to be less violent ?
What if tomorrow isis(which is particularly funded and backed by US and zionist regime) claims to be less violent ? Will their atrocities be forgiven ? Thousands of innocent people are murdered and what mericans care about is a fucking wall and to send back immigrants, duh ! WOW !";Hateful;Accusations
33837;Israel destroyed a Palestinian village in the Negev. It wants to build a Jewish village there instead.;post;"Another attempt of AJ+ to divert its readers and viewers from truth, buy covering just one side of the history and showing interviews of anti israel by ideology. 

The village in this case is in ISRSEL and is not Palestinians in any border. The population living there is Beduins, they are citizens of Israel since its creation, they serve in Israel Defense Forces and in other public offices. 

Many of the Beduins in Negev Desert build ilegal and without authorization from national government. Supreme Court rule some weeks ago same demolition to a Jewish build up in the West Bank. 

Instead of showing the whole picture, AJ+ choose to show lies and divert the viewers to hate Israel and to think it's doing cruelties. 

Shame on you, AJ +";Hateful;Accusations
39198;Apache Tribe Is Taking On A Copper Mining Company;video;Always taking our land for there greed.;Hateful;Accusations
52020;Donald Trump's Immigration Plan: 'End Birthright Citizenship';video;"If yall are gonna deport immigrants don't just deport my people. deport white ppl also for coming illegally from Britain. Lemme remind yall United States is ALL immigrants everyone in here is a immigrant . Don't came at me with ""oh we're white this is our land"" this is native & Aztec land . Yall came and raped indigenous women & were the ones getting kicked out ? Cmon now that's completely unfair & not right . Trump is a waste of life man . He acts like a 12 year old brat who wants a president that can't even act like an adult";Hateful;Accusations
125288;"""Just kill me ... just kill me.""

New footage has emerged of the man who was forcefully dragged off of a United Airlines flight.";post;and you american think you have democracy and call out on other country? guess what democracy is a joke and a big fat lie! go search what gerrymandering is.. its not you guys who decide who is going to represent you, its the politicians decides who is going to vote for them!! you guys live in police states controlled by politicians which are bought by corporations,. what a joke!;Hateful;Accusations
125353;"""Just kill me ... just kill me.""

New footage has emerged of the man who was forcefully dragged off of a United Airlines flight.";post;..one of the BIGGEST problems with the airlines, is the GREEDY, MONEY GRUBBING practice of 'OVERBOOKING' flights to make sure that the flight is full. ......money, money, money, money, money, .............! (...oh, and if you have to 'boot' someone, make sure it's a person of color!);Hateful;Accusations
168245;"""Military killed my husband, set fire to our house.” Rohingya refugees are fleeing violence in Myanmar.";post;So cruel. We may have different religions but we all belong to one human race. The purpose of religion is to control oneself. But if u treat other religion this way, u are no different from the terrorists.;Hateful;Accusations
177627;Why People Celebrate Cinco De Mayo;video;How can people celebrate cinco de mayo when the spaniards murdered the Aztecs and stole their land and defeated the French who tried to steal it from the spaniards. Mexicans have no rights to the land!!!;Hateful;Accusations
202722;"""Cops, rapists, murderers.” 

Paris is burning after a black man was allegedly raped by a policeman.";post;In America this couldn't possibly happen........... because the cops are above the law and the majority of whites don't think police brutality is a reason to protest.;Hateful;Accusations
202738;"""Cops, rapists, murderers.” 

Paris is burning after a black man was allegedly raped by a policeman.";post;This is a proven technique used by right winged zealots to win/steal elections. If it weren't for the race inspired protest, caused by a few Police officers killing  innocent black folk before the US elections, there would have been no protest of racial tension and Donald Trump would not have been president.;Hateful;Accusations
208575;"""I hope you can remember us.""

This teacher in Aleppo shares a harrowing ""last call"" video as government forces take control of the city.";post;I support Assad 100% and not the isis rebels that are destroying the country!!!!! People need to do their research and see who's really destroying the country. Cough the United States cough.;Hateful;Accusations
208576;"""I hope you can remember us.""

This teacher in Aleppo shares a harrowing ""last call"" video as government forces take control of the city.";post;And then you have people supporting assad... how can you support someone that's killing his own people? Or are they supporting him out of fear?;Hateful;Accusations
208596;"""I hope you can remember us.""

This teacher in Aleppo shares a harrowing ""last call"" video as government forces take control of the city.";post;"He might be a war victim, but as a Syrian citizen I blame these people for all the death toll and destruction that happened in Syria... 
No matter if these people were aware of what they caused or not. Because before this damn revolution Syria was a country of peace and expected  progress with some freedom restrictions which were getting better. Then these people had extreme radical Islamic mentality, they were greedy for money, plus the nasty interventions of the USA, Turkey and Saudi Arabia. Hence we the Syrian people who believe in our land hope the world could look at our crisis with an objective eye and to restrict its reaction toward special cases like this one since it could be plotted for global sympathy.";Hateful;Accusations
208597;"""I hope you can remember us.""

This teacher in Aleppo shares a harrowing ""last call"" video as government forces take control of the city.";post;Don't believe him he is criminal he killed tens of our children all media not telling the truth i live in Aleppo we r suffring from ppl like him they killed torture us did bad things with us with our children women &men in the name of Islam;Hateful;Accusations
208609;"""I hope you can remember us.""

This teacher in Aleppo shares a harrowing ""last call"" video as government forces take control of the city.";post;By freedom you mean dropping bombs and gas tanks unknowingly on innocent people? The media is sending incorrect messages to the people outside Syria! Freedom doesn't mean killing other people who have different ideas and beliefs. You can't just go on with murdering innocent people and not expect some kind of punishment. I'm born and raised in Aleppo and I know exactly what's going on in Syria. This video is pathetic and fake. Don't be fooled by a video that was posted on Facebook;Hateful;Accusations
208634;"""I hope you can remember us.""

This teacher in Aleppo shares a harrowing ""last call"" video as government forces take control of the city.";post;So so sad. Obama sponsored terrorists have lost but at what price. UN is defunct and the Syrian gov has different plans allied with Russia. It a Zero Sum game for the people of Allepo. I think we all need to really think about how this systemic reaction will enact a tidal wave of anger and hate to the international community. It's time for a revolution of conscientious. It's time for us to wake up!;Hateful;Accusations
259287;5 Reasons Working At Google Sucks;video;Google steals info of their users;Hateful;Accusations
272138;"""America ... belongs to white men."" 

A white nationalist turned up at a Texas university. 1,000 students and activists gave him a welcome he wasn't expecting.";post;"I hope everyone is smart enough to see this lying race baiting in this video. This woman is CLEARLY talking to someone in the audience....NOT Spencer as the narrative says. He's standing behind her and she is facing and motioning towards someone in the audience. 

I see a lot of comments that reflect people are just falling for this mind manipulation. 

Smdh";Hateful;Accusations
272157;"""America ... belongs to white men."" 

A white nationalist turned up at a Texas university. 1,000 students and activists gave him a welcome he wasn't expecting.";post;Hell demons , Devils that's what they our. Trump don't give two nickels about them either, if it's not a business deal to put money in his pocket he won't care for them neither Ijs!!😡👿;Hateful;Accusations
277905;"""I did try and f*** her. She was married ... I moved on her like a b****.” 

Presidential nominee Donald Trump made these comments about a woman in a 2005 recording obtained by the Washington Post. 

He's also accused of raping a 13-year-old girl, but the media has been largely silent.";post;Disgusting. I already knew he was a rapist. So sad victims of sexual violence have to constantly see images of him on their facebooks and other media. This election is so disturbing.;Hateful;Accusations
277914;"""I did try and f*** her. She was married ... I moved on her like a b****.” 

Presidential nominee Donald Trump made these comments about a woman in a 2005 recording obtained by the Washington Post. 

He's also accused of raping a 13-year-old girl, but the media has been largely silent.";post;Why has the main stream media been silent about TRUMP????? How DARE you ask this! Ask about how many women Hillary smeared and attacked to cover up Bills DOZENS of rapes. Lets pretend neither of them are rapists, but they both had some cases of sexual misconduct. Which is worse, the guy who engages in some bad decision making or the woman who assembles a TEAM lawyers and private detectives to dig up dirt, embarrass, smear and threaten the women who accused her husband of those things? I know my answer.;Hateful;Accusations
277938;"""I did try and f*** her. She was married ... I moved on her like a b****.” 

Presidential nominee Donald Trump made these comments about a woman in a 2005 recording obtained by the Washington Post. 

He's also accused of raping a 13-year-old girl, but the media has been largely silent.";post;I guess the media is silent about it for the same reason Hillary made the lives of all of Bill's rape victims really miserable. There are rape allegations and shady dealings on both sides and it's really unfortunate seeing how one will end up with extreme amounts of power.;Hateful;Accusations
277944;"""I did try and f*** her. She was married ... I moved on her like a b****.” 

Presidential nominee Donald Trump made these comments about a woman in a 2005 recording obtained by the Washington Post. 

He's also accused of raping a 13-year-old girl, but the media has been largely silent.";post;"So this ""man"" who is a rapist and peodophile... there are actually people who want him to president!!!!???

Get someone in the office (not Trump) who will bring back the death penalty in his state, then kill him! He doesn't deserve to breathe after the horrible crimes he has commited.. tax dodging is one thing... but this!!";Hateful;Accusations
277949;"""I did try and f*** her. She was married ... I moved on her like a b****.” 

Presidential nominee Donald Trump made these comments about a woman in a 2005 recording obtained by the Washington Post. 

He's also accused of raping a 13-year-old girl, but the media has been largely silent.";post;TBH Hillary also allowed bill Clinton to Rape 7 women and the. She destroyed them. And back when she was in law she defended man who raped a 12 year old and she knows he raped she allowed this rape to happen and only had the rapist go to months;Hateful;Accusations
277963;"""I did try and f*** her. She was married ... I moved on her like a b****.” 

Presidential nominee Donald Trump made these comments about a woman in a 2005 recording obtained by the Washington Post. 

He's also accused of raping a 13-year-old girl, but the media has been largely silent.";post;It can't be talked about without acknowledging that Bill Clinton was a fellow rapist on the Lolita Express. Little girls have claimed that they saw BC on Epstein's island.;Hateful;Accusations
